Hora del día,Dispositivos,Ancho de banda (Mbps),Tipo de tráfico,Tráfico de datos (Bytes)
17,404,34,ftp,506880.6922844047
16,1267,68,web,475562.7813146083
8,210,88,video,252604.09111805997
11,1113,95,web,448058.0657989279
16,331,15,web,198692.8791864482
11,694,61,audio,421260.14258310234
17,1396,88,ssh,624639.4462433056
10,272,97,audio,294835.72831694275
16,1072,30,web,478013.94567232876
9,1130,80,ftp,635819.0823264422
11,1278,41,video,477126.30402127275
13,645,62,ssh,424254.1714600458
9,647,68,video,378434.86056881375
15,617,78,ftp,557132.2041678333
15,1013,71,ssh,581014.9907466384
8,314,13,audio,217144.88476685656
10,233,95,web,185739.52571928204
17,384,27,ftp,489379.17025429173
16,1249,90,web,465706.9967104919
12,785,65,web,457360.7943723869
13,1275,33,video,538330.182828154
11,430,75,ftp,569212.6413850137
17,1238,22,web,385080.820094783
9,993,71,audio,350439.35302191466
15,1407,63,ssh,581895.7433737232
13,998,24,ftp,636056.4890726733
12,1198,78,video,626405.0794846767
16,1289,12,ftp,604691.0273023683
8,1312,46,video,502371.69851202215
12,177,46,ssh,309950.954489375
13,1046,12,audio,339618.0076440807
12,787,72,web,389320.5848888315
13,120,44,ftp,422151.0151481081
13,665,61,video,429024.3991336938
14,1307,96,ssh,559397.1731418311
11,1345,37,web,524497.8340914331
15,926,27,ssh,498532.16309752635
14,1451,45,audio,559381.3212408238
16,278,42,web,183871.92973776377
14,1235,73,web,443973.7405189981
10,1182,35,web,418468.7228119292
10,1450,57,video,584853.7609026653
15,1004,49,web,408032.42716183123
12,768,26,ssh,501326.12460243865
11,290,49,video,280973.97719835193
15,1323,16,web,457468.63027198304
13,1435,66,ssh,640687.8841740139
9,807,17,ssh,476483.634209753
11,1158,65,ftp,622717.2608659591
11,478,40,ssh,356939.3613043301
13,486,68,audio,280310.0123945513
13,336,67,web,154986.59070577243
8,715,21,web,334376.7254922649
15,382,57,web,321282.87548675993
13,100,40,ssh,397177.514561106
10,563,92,ssh,473939.4981230726
16,1353,72,web,379944.03911409446
9,1066,83,video,448364.4754107367
15,271,48,video,361720.7708796556
17,1210,85,audio,526275.9001395898
10,1246,29,ftp,602562.5893423989
12,942,57,audio,445345.8601454123
13,1421,80,web,489782.58538426226
17,789,63,web,380338.5232775681
13,674,87,web,311346.7333583992
11,264,84,ftp,498900.5493060795
10,482,80,ssh,414861.4195659808
11,308,38,ftp,369067.5458489687
8,323,83,audio,257550.04935906356
11,102,82,ssh,348976.69043190096
8,471,57,ssh,462400.1394184423
8,710,83,audio,371386.60007826035
17,215,92,ssh,414692.58905171754
13,1393,65,video,513666.82876186864
12,546,26,audio,371474.1294914788
11,1491,18,audio,479602.39229883073
10,1376,43,video,541698.6070529332
8,1440,54,ftp,729009.1538440932
13,514,97,ftp,541738.1665524652
9,1218,18,ftp,516187.29761424125
15,991,16,ssh,442724.4881823764
17,1147,25,video,523684.4774940377
12,762,28,audio,315762.96925625973
14,1173,15,audio,494527.3373816499
17,817,20,audio,410513.153248249
9,1458,85,ssh,637369.2384511932
15,1202,70,ssh,565062.8409178824
9,1150,51,ftp,687569.1827643353
11,370,22,ssh,532129.686400523
8,661,21,ftp,468770.76381216425
12,903,94,ftp,605251.9624207501
16,346,83,audio,345570.86715321563
8,486,29,ssh,388715.65682794654
16,801,59,ftp,528096.4766133602
15,658,45,video,374851.60062597616
13,1072,97,video,471120.1367237238
14,1484,78,ssh,676062.0012774572
10,1083,46,audio,413616.2760898182
8,451,21,audio,161785.3574929735
12,1379,49,ftp,682542.9110299161
9,1345,63,ssh,593586.9358767922
12,852,11,video,503233.6500700573
15,880,59,ftp,599156.1198545505
16,1124,50,ftp,555866.3201844852
9,645,54,web,189516.16796350095
10,178,18,ssh,308626.3807831031
10,1359,71,ftp,626044.6289653174
8,433,95,video,421257.9600500083
15,988,56,web,400156.4533855213
13,1472,14,video,623084.4249049254
15,1221,85,audio,445458.3472148683
16,1205,10,web,474263.21921902243
12,601,53,web,342749.45767154597
10,864,31,ftp,437388.29442844016
12,1020,47,audio,503630.8920630386
12,649,28,ftp,508472.92458831763
12,113,89,ssh,396702.2251934253
10,491,40,video,324955.19437857886
17,1470,76,video,680762.3506460986
11,409,96,ftp,425507.3835380565
16,485,51,video,444104.6009186973
17,1332,91,video,637930.3737954336
16,1480,35,ssh,594791.6285913889
9,1073,22,audio,519768.6799711287
15,1217,67,web,463476.424010876
15,1216,27,ftp,664394.6305135512
14,439,76,ftp,419443.9602332122
15,696,96,ssh,618086.5001504283
10,856,12,ssh,415972.1529887455
13,1145,64,web,477244.32163829653
8,390,98,audio,267261.4141034152
14,405,67,ftp,453550.55985761585
8,733,72,ssh,512037.70219427237
16,1251,61,ftp,712077.6356837578
8,724,98,video,370235.7875442949
8,1038,33,ftp,618623.6084528497
14,1396,81,audio,591949.0247566596
9,947,18,audio,346502.3295577554
12,541,46,ftp,571132.3796795555
15,602,92,video,368557.1185875981
15,229,62,audio,270561.37086111924
10,1255,89,ssh,619450.1312045994
14,696,33,ftp,483021.6857648697
10,961,30,video,470390.95428396703
13,692,49,ssh,489953.80394016474
13,1098,71,ftp,610746.286503864
10,424,79,video,415920.026929528
14,1192,78,ssh,585981.960367118
10,547,23,audio,332477.0534406903
15,918,51,ftp,641423.5938743951
17,1288,59,ftp,711634.310501292
11,808,70,audio,440900.8645407104
8,364,13,web,161841.019889161
11,711,81,ssh,513939.6287750661
14,1465,97,audio,517575.06045152474
11,931,84,ftp,519129.2510110987
13,1401,26,ssh,604614.6826857516
16,773,94,ssh,486385.2406674205
8,256,66,web,263730.88594199886
12,350,99,ftp,520226.7729847662
14,977,57,video,398768.6881784279
8,629,53,web,250884.8730211555
11,426,54,web,194210.66640410008
13,1060,89,video,498368.53617035545
9,994,99,video,516058.78349344124
17,196,42,web,233085.59509108058
12,612,40,ssh,422912.0379666432
17,315,56,audio,391008.82634065696
8,1255,15,audio,333257.1413701856
13,1383,81,web,543943.5946759112
13,224,80,ssh,372585.58534222574
11,1205,43,video,513594.5494943605
15,1406,62,web,460831.83311399457
11,158,23,ftp,475244.4052769559
15,260,25,ssh,327951.075159737
15,383,52,ftp,478186.8184860968
12,205,82,ftp,468371.93259299983
11,1228,83,web,361549.8616057416
9,327,90,ssh,359405.0914776923
10,417,21,ftp,436491.07332508854
10,901,79,ssh,475366.74826578127
11,973,28,audio,372820.4114390425
11,571,50,ftp,476706.86684617813
17,1179,62,ftp,684279.0665823086
12,724,38,ssh,456664.1111560928
11,112,79,audio,320821.3097236473
17,1141,68,ftp,597312.1108670323
15,793,98,web,320003.8869763274
13,1072,73,ssh,662217.2702860567
13,212,33,ssh,341002.0936167244
15,328,98,ftp,424054.39964639203
14,270,25,audio,199397.30291140848
17,394,61,ftp,548055.172690447
17,288,89,video,370034.77426699706
15,525,15,ftp,474814.5132466801
9,1076,46,video,475239.91442066804
16,1202,94,web,518047.14423348906
8,757,13,ssh,438923.50830120395
15,1018,47,ssh,669302.6889416313
11,1305,50,audio,497688.02870271145
11,598,90,ftp,572689.238347916
12,861,23,web,383961.99289522035
15,965,80,video,506177.6339870981
12,925,95,audio,413151.4506989768
15,170,60,web,255598.19642832768
17,347,74,web,316904.9365603636
8,245,61,video,290870.69759367366
17,1419,39,video,596616.9432975327
16,681,66,ssh,561010.2489129798
13,569,88,ftp,626297.3869534839
10,292,91,audio,346618.46601747104
15,1191,39,ftp,725837.9843190141
16,593,51,audio,342631.2894396772
13,151,20,web,240294.11260296468
14,981,36,video,551125.9754290637
8,462,33,video,304083.3333514002
12,1016,48,web,362920.49439774954
12,573,81,web,401995.2380917625
17,620,27,audio,323745.05721065303
11,1421,86,web,415143.49836721446
13,790,54,audio,476399.07868197554
14,1321,97,ftp,742538.1612490219
16,1251,96,video,599806.0121991885
8,631,21,video,374414.4622677086
13,939,58,video,459873.7747197509
14,1188,40,ftp,641697.4436904526
10,340,31,ftp,512490.3478700775
15,1492,53,ssh,661828.3063071038
12,635,73,audio,481847.96336234827
16,182,86,audio,264502.9007179885
12,1081,34,ssh,542215.9622835865
16,1050,60,video,501347.0666168042
17,710,16,audio,330742.9228418834
11,673,15,audio,339445.81334951724
16,385,33,video,394366.46508302196
12,1088,28,web,417811.5089976015
17,558,92,web,451122.6089472278
16,1335,18,ssh,629223.373486178
10,225,45,ftp,475006.8401839808
11,524,49,audio,337604.7123149488
16,653,33,audio,461002.78002262977
17,709,57,ssh,625222.4642794034
13,1281,72,ssh,633754.2565487975
9,211,78,audio,226567.04922742094
14,501,62,video,373759.74886114156
9,221,63,video,334796.7151602581
9,372,51,ftp,467724.9017625323
8,1417,54,audio,535321.2567192186
10,497,99,audio,371909.88406150206
13,570,23,audio,340849.24581279693
15,1084,38,audio,428990.0779398936
16,1330,15,ssh,623556.9130632115
14,1233,16,web,517349.3678740328
11,1401,46,audio,559196.4302713878
13,668,62,web,356335.1974818099
12,1237,27,video,572378.3461911376
15,996,96,ftp,603646.7985549574
8,919,47,video,421886.74269583396
8,952,68,audio,377010.7447817009
13,809,10,video,425535.6688615281
17,420,77,ssh,436399.705164546
9,278,53,web,287513.73703260696
12,996,56,audio,413433.82911589055
8,318,44,ssh,335463.91418875416
14,888,96,web,492728.85894153157
8,591,69,ssh,420131.2384459328
11,160,99,video,344176.42286251753
16,1177,61,audio,518466.14123717055
8,637,17,video,319065.34405395924
11,947,89,ftp,650674.1884751534
13,1087,50,audio,489255.9520205614
13,164,12,video,381719.20059403905
15,685,78,audio,367038.903139095
8,270,93,web,245456.289623808
14,1396,23,audio,512667.7877497098
8,634,35,audio,347494.4247175011
14,792,79,web,295169.26257114194
10,1450,67,video,579041.8189346112
15,207,49,audio,219576.80442881276
10,1285,60,ssh,604916.703559846
8,913,14,audio,273167.543774074
15,1104,86,video,446220.6582854707
10,551,41,web,321627.4358219999
9,1329,89,video,527958.0772402609
8,689,10,ftp,433407.09631838795
10,1139,86,audio,534342.2810537774
9,426,63,audio,328081.31086642074
9,707,20,web,340004.50977668917
13,758,62,audio,389287.89638395846
8,101,17,ssh,452681.4346950002
9,1133,34,ssh,508374.30697201024
13,533,49,video,483324.7774679944
10,224,41,web,212231.69799500436
11,1204,97,ftp,561574.4802543627
8,584,37,video,399442.4372874054
15,751,87,web,384438.1280727582
14,1273,12,web,378033.9092880385
14,899,93,video,450189.03614326427
10,972,88,video,487165.1178457504
17,1463,71,audio,580587.3907623991
17,228,36,ftp,325066.83585602994
10,537,54,ssh,487056.07262619014
9,850,34,audio,357275.1013092511
8,600,70,web,228412.62578009118
14,1181,53,ftp,679753.3275725965
14,1321,55,ftp,660519.1010290772
9,310,23,video,379308.28883911273
14,1001,17,ftp,600597.6131489878
15,144,57,ftp,432224.2748525977
8,1220,23,web,387863.5027509922
16,1402,74,audio,571535.6380278069
14,634,89,ftp,520623.4370595335
10,560,91,video,364871.370562675
15,490,16,audio,361495.4561327322
14,1167,88,video,540175.6079277785
15,126,97,ftp,450378.3824034503
13,893,58,audio,477068.9918077304
16,1220,64,ftp,650306.1696132129
12,1074,22,web,386551.69627708953
10,647,82,audio,340417.5244274534
10,720,65,video,448036.99669909256
8,666,65,web,323191.3956340044
15,803,24,ssh,542638.7565895279
9,1342,66,video,517443.55814965616
10,284,67,ftp,417409.1515204907
15,1192,44,video,575006.8699572735
15,1253,97,ssh,636710.6501681432
11,947,25,video,411589.09369036526
11,698,17,web,368427.70338672504
12,905,96,video,404077.47157998744
13,1457,54,audio,572614.2376631876
12,1277,49,ssh,526639.3982000902
14,178,63,video,431389.42582427635
9,678,23,ssh,364870.0136547188
14,512,68,web,364012.5325936374
17,645,62,audio,390918.2819994378
14,268,36,ftp,423269.8715080628
8,780,56,video,433269.83282338805
14,682,89,web,382495.01695789065
12,614,15,ssh,395079.97488345654
10,1437,64,ssh,578610.6137415714
10,131,53,web,235180.24325564428
11,386,27,video,260332.85231752
9,693,25,ftp,466888.5453403957
9,1166,21,video,640734.347707972
8,716,29,audio,299299.3517705359
12,1124,54,video,569190.1395879877
11,369,73,audio,286002.4615643094
17,1303,68,ssh,655052.2572398572
9,617,99,audio,400617.7845298109
10,1226,31,ftp,667147.8367591474
14,1133,56,web,414587.3086593612
14,682,38,audio,474844.2319377427
11,1213,95,video,515633.171770741
12,325,54,audio,313711.020679978
12,769,86,ssh,519063.8466108804
13,1016,18,audio,371101.5940025292
16,225,33,ftp,427206.387251044
9,1055,24,audio,426075.67496192036
12,1332,45,ftp,627293.947843529
10,1220,22,video,627046.1982728267
11,173,53,ssh,324168.81632002344
17,1314,80,web,546771.2234070214
13,155,81,video,379322.99065743934
15,819,87,video,481606.8932747864
8,652,85,web,269639.5473073877
17,131,45,audio,245287.23398041152
15,673,70,audio,368701.6350391745
14,766,90,audio,328912.93590268685
8,383,49,ssh,340926.72871003544
9,286,36,video,246076.1742318179
10,597,10,ftp,541693.7501588858
8,229,43,web,238223.11961941092
16,738,77,video,505398.70494327304
15,1415,97,audio,585941.5975770974
9,213,30,web,210948.38116670816
16,1322,42,ftp,738434.0166064568
14,112,16,video,269861.8672134131
16,1394,74,video,601133.4827683523
13,1338,12,ssh,625952.9413912061
13,543,60,video,337539.53840719356
11,546,88,video,563029.4448071275
17,1085,63,ftp,634928.2881388793
17,1092,89,ftp,654999.4725287796
9,814,83,web,412143.9015837461
14,173,68,audio,334347.7666505112
12,636,15,ftp,496603.90096982295
13,200,38,web,230506.4719049021
9,275,26,video,237792.57345260103
12,526,69,web,271876.7111075012
17,1240,31,web,474360.510807948
11,1289,33,web,451494.64195214433
16,140,90,web,314058.28750020434
13,528,94,ftp,511574.9470888338
9,443,60,audio,244235.6743284567
8,465,59,web,315336.5215387839
12,1243,20,ssh,640404.4673091008
16,708,65,video,499012.2286428115
13,756,80,video,448018.3164571254
17,827,51,video,528119.302593829
14,328,48,video,531045.5239004106
12,924,78,video,489557.61572202377
17,1253,57,web,398513.16538774373
13,1475,66,audio,513685.7475223924
12,988,30,ssh,553873.8000152025
16,1441,91,ftp,633459.7844550968
13,1083,29,ssh,554570.1537456035
15,935,24,ftp,593016.8325157941
9,1460,78,ftp,752756.0869906326
16,1396,86,ssh,717709.742802715
12,216,60,web,276429.2395875886
14,917,85,video,387766.0494742735
17,467,71,web,359952.6564023963
8,1217,94,video,565675.6693030123
17,267,46,audio,324197.2188539173
12,1053,15,ftp,491588.8936927257
17,1464,80,ssh,628961.304540647
9,760,35,audio,306158.8615232967
13,794,17,video,331549.57802464545
8,1024,82,web,385654.2424292603
10,251,13,ssh,316808.893927861
12,685,30,ftp,643265.2790134456
11,1012,40,audio,418961.4030281045
10,373,30,ftp,504287.657793298
17,595,34,video,342545.0487653388
12,200,24,ftp,385495.5206997565
15,656,44,web,333044.89380171575
11,1205,58,audio,429592.30256961647
8,172,52,audio,229289.9657597628
14,1137,50,web,411502.4546878231
15,256,46,ftp,437504.6007277553
10,834,66,web,442555.9286517673
13,231,51,ssh,405611.31427157554
9,1461,56,web,489175.52814706514
14,1118,70,ftp,655582.7387172536
15,1499,23,web,516931.31886685564
13,658,77,video,430955.65080625674
13,206,62,web,221162.68142605768
12,364,93,web,287640.80297591386
15,1328,43,ftp,719940.1974456736
8,1202,85,ssh,629211.9094218191
17,254,33,ssh,390280.07621557947
11,1087,29,ftp,625292.1847334056
11,1096,78,ftp,603470.7668480166
10,346,39,ftp,440393.5274717622
10,630,97,video,400823.8309222901
11,957,16,audio,395317.7430546883
8,637,45,web,356966.503477484
9,828,47,ftp,538721.0573669618
16,1277,89,ftp,686664.125427616
17,253,61,ftp,393739.11103710206
9,191,24,ssh,329737.8046183635
12,437,55,ftp,462834.25481276354
16,1254,32,web,405342.82572782977
16,549,21,ftp,501383.27058517816
15,909,53,web,361840.8854886173
8,886,24,video,433199.7927621791
8,372,58,audio,299475.1504909467
16,687,30,ssh,434612.2821088678
15,276,24,web,222264.91087584052
17,930,23,video,486368.71413804166
16,742,51,audio,463114.9715578363
14,1172,89,audio,511735.95863978704
10,666,24,audio,312103.2410041286
10,765,72,web,358950.2379621926
9,1478,77,video,664477.444466088
12,1431,36,ftp,710035.323629451
10,967,96,video,518776.326521781
13,1169,62,video,566079.508774116
9,401,61,video,427697.70207143156
10,967,72,web,433181.339700883
12,1011,82,web,431538.0190558829
8,507,62,web,325832.11097950424
8,1312,66,video,481317.44518679695
17,921,61,web,324586.73738298594
16,1252,52,audio,514254.9325321915
14,660,16,web,313434.03548252693
8,1389,51,ssh,566104.4973243371
15,1241,13,web,470992.6334913855
10,563,78,web,208456.8206774382
15,243,14,web,203861.3871971098
12,541,84,web,285952.22275611927
8,1323,89,ssh,517284.910745027
14,1280,50,ftp,725736.5503634652
12,586,13,web,215739.93656683384
13,959,11,audio,382882.9971346157
13,1257,76,ssh,649798.9878902567
15,247,30,ftp,471702.2671714366
16,1459,79,web,455891.2651757627
9,1194,52,ftp,643924.4604630318
16,1356,91,audio,561189.2239329111
17,1457,78,ssh,782051.7781055734
16,910,18,ssh,541197.0208034152
17,765,93,ftp,577437.9089465734
17,189,37,web,198474.90214402886
14,1457,35,video,541687.8316522214
8,298,91,ssh,353811.5452265921
14,1284,92,video,641354.9406955962
17,637,12,ssh,469298.4957508235
12,1244,82,web,478062.35619873647
13,400,58,web,349712.37999904435
17,823,26,ssh,394676.79288962675
14,1062,72,ftp,682343.6882350188
12,167,64,web,228169.8455891667
14,558,32,web,319352.4185820222
16,497,43,audio,309479.83891258744
10,719,78,web,295043.7800775741
15,1409,24,audio,543242.2944906494
9,1263,56,web,544829.8900165735
14,829,12,web,391965.6656407451
9,655,92,ftp,585276.146070927
11,880,37,ftp,539899.936486929
14,993,12,web,344589.7887707186
10,709,13,ssh,409259.75242105033
9,847,97,ssh,488486.3137651656
17,381,40,web,178560.87834147373
14,760,54,ssh,462754.0328554199
8,1023,68,web,350582.34219700785
15,1095,54,ftp,612232.0912802579
10,845,84,video,467587.5054873646
9,186,46,audio,273322.54343128053
10,1202,74,ssh,576653.731377852
12,1328,18,ssh,555527.8456828621
15,890,26,ftp,467832.067836724
17,1460,74,ssh,635234.5695799104
14,1377,12,web,402777.46811564977
14,403,35,web,291403.3374139302
14,229,62,video,392264.3698346847
15,695,40,video,480928.55335299694
8,1399,35,video,575147.636806391
11,657,32,web,295723.7132273756
13,998,39,video,458002.22172620514
16,1306,19,video,513344.8623166467
9,1391,81,web,388325.0541699125
8,1445,98,ftp,727592.6850253929
17,177,73,ssh,398164.4481035013
9,883,31,audio,324782.9853189563
14,1462,24,web,433075.4312144883
10,773,65,web,293751.3271783724
17,337,83,audio,346051.2242507563
9,1257,29,audio,514273.3925535343
14,1315,56,video,543600.5225202208
9,1479,96,audio,426173.32426081755
10,377,62,ssh,396940.983242054
14,1141,62,ssh,571390.3049951402
11,623,10,ssh,423353.9884532239
8,279,11,ssh,319926.9416762149
12,222,67,ssh,398771.9540362921
16,1369,28,video,571107.05575745
15,1496,71,web,508458.48429366766
16,1174,87,audio,528932.0680721482
17,1194,81,web,442808.3588426073
16,579,21,audio,331970.7165149673
14,1142,35,video,584906.16447927
11,183,36,video,337567.7704857718
12,1278,38,ftp,675947.30304714
8,664,24,ftp,546105.2292667034
8,718,55,video,437397.20903124
10,456,10,video,392619.4339568085
15,915,69,audio,363532.74189648696
9,746,66,video,437407.69359980134
11,542,12,web,260264.0769092836
9,1192,27,audio,530784.2045449904
12,622,61,video,461282.276590165
16,242,69,audio,281377.740460341
8,291,43,audio,288339.7079264603
12,477,98,ssh,462784.066672462
16,680,69,ftp,573216.5716576114
8,634,35,audio,283357.8765312674
16,1416,81,audio,571700.8232619113
15,1132,28,ssh,553992.4325355883
11,1394,31,video,563422.48820278
17,192,42,audio,258180.7417438915
12,628,47,ssh,429846.84143017005
12,1277,44,web,496092.1010183351
13,504,76,ssh,401222.62208299193
14,939,92,ftp,554912.2799478975
15,1272,19,ftp,636320.9371392211
15,988,24,video,446005.48124070227
9,1390,20,video,488748.5683868601
16,521,99,ftp,538953.7985604147
14,571,33,ftp,425446.70715481474
11,992,86,audio,396001.8882543181
11,646,13,ftp,593404.7791461821
15,730,22,video,454973.75294845045
11,1137,82,ftp,586071.8323865044
13,877,66,video,494310.75391330983
12,463,46,web,303966.5238493315
10,218,57,ftp,471820.7210045119
17,1361,80,video,590842.1985271635
9,645,10,ssh,477824.8851386445
16,1292,69,audio,420977.6737558914
17,621,21,video,366884.59347621235
16,733,30,ftp,549793.5700868228
8,1062,20,ftp,578881.6766403896
17,1057,53,web,377310.8856165679
10,982,67,ssh,542870.9995631579
15,879,53,video,446107.987565637
13,970,87,ssh,538652.0452886417
12,615,43,web,355738.69003325055
12,1037,34,audio,479846.87484443
13,965,13,ssh,464646.9836318369
14,205,73,web,194637.42689899483
8,1208,99,video,510541.3302223342
16,313,25,audio,303762.68494135374
10,1244,19,ftp,575405.075571263
11,1255,75,web,495532.1221399834
17,949,44,ftp,614169.4920854277
8,296,92,audio,315504.25549372146
17,118,15,web,152773.0585527514
10,741,28,web,370564.535869189
9,1135,68,audio,314991.55888796545
9,1204,62,video,558502.7725924684
8,429,17,web,281015.5868835386
15,965,87,audio,439879.94063610194
10,873,19,ssh,547745.5108623712
10,491,76,ftp,483045.1223522827
13,736,47,web,338821.5851663721
15,406,38,ssh,442176.4393702108
16,1390,24,web,629328.7455905527
16,994,96,video,594021.6954041502
11,751,32,audio,406256.5600356459
12,940,91,web,347859.7756699403
9,1125,55,audio,454679.4912739746
16,619,92,web,309143.7953076807
15,735,37,video,481605.5423641406
10,1432,35,video,560923.3487867429
16,839,19,ssh,451073.91601930524
10,568,56,video,395656.22917092516
16,311,13,audio,256229.12651418473
9,1235,64,video,531560.8110668773
17,1131,75,web,405746.1341817372
16,903,76,video,499974.38166804065
15,576,16,audio,385723.49309675477
16,973,64,web,403947.4004037447
12,559,89,ssh,446755.58664138056
9,352,40,ssh,395563.81105287315
15,851,83,ssh,571559.1310396426
13,1080,28,web,339640.83650591195
15,953,37,ssh,547132.8077352601
12,335,90,video,437877.04095087
17,1429,37,web,517982.84816383576
9,577,28,web,277287.7073333614
13,778,96,web,400586.87533494475
12,1143,29,ftp,625724.8228051341
12,315,22,audio,321680.05545799073
8,954,86,ftp,472603.4194508528
9,234,52,ftp,340127.1933168367
15,1004,20,ftp,636041.4574741619
10,1252,57,audio,403636.041191928
17,509,24,ftp,518876.9317859603
10,1417,26,ssh,578797.5171983854
15,1369,63,web,430490.53772020014
15,185,59,web,258982.4878573737
9,655,37,video,404551.6751858285
15,1498,92,ssh,776117.1326048189
8,477,13,audio,260659.43977320555
13,1174,31,web,487305.5060034587
15,341,95,ftp,508321.14571921574
10,1417,48,video,524348.9059228643
15,1019,43,video,540262.3228758622
8,365,53,web,267786.92522269755
16,1243,51,ssh,605892.1647429025
16,811,49,video,480014.76782203116
12,1371,21,web,414850.6484477234
17,169,11,ssh,333010.6437372747
11,156,37,web,242672.10869112913
13,138,83,web,222903.0287843363
14,900,95,ssh,543495.8500875453
12,1141,90,ssh,597191.0797972139
17,831,99,ssh,563964.4172391904
16,924,76,web,331333.6764512968
10,855,80,video,525312.6043227429
14,451,81,audio,356759.10759503394
17,1421,93,audio,555567.3368588926
17,382,85,web,325442.30025848735
12,209,90,web,258627.10968074316
14,1116,19,video,541053.1344744851
9,1303,95,ssh,629999.1836075471
11,643,66,web,352492.3114498133
9,124,95,ftp,484849.6952863758
14,942,46,ssh,575581.2274485487
9,890,86,web,357975.6889835719
8,837,73,ftp,487754.94219615834
16,156,88,video,438589.89665022574
8,279,95,ftp,431413.8313326444
15,331,49,web,242044.62933197388
9,442,69,audio,231063.65911177802
15,576,57,web,335623.65526560554
10,675,28,audio,356444.3301976885
13,554,81,video,340544.25318752596
10,1355,42,video,564663.7021066588
14,388,53,ssh,399190.40396492806
17,1336,46,ssh,759715.7503644347
16,357,98,audio,321931.94039545656
9,629,45,audio,321540.33339011035
12,786,90,video,418461.18878728163
13,1028,97,ftp,682993.8260520987
11,328,30,audio,266961.2102767624
11,1349,11,audio,444054.29231172515
11,695,40,ftp,549347.7504960272
9,534,39,ssh,352282.35322934075
11,981,85,ssh,574955.5273124473
8,1120,53,audio,529569.9858300429
13,501,21,ssh,454030.3916417544
8,721,60,ssh,496094.9158129963
17,187,58,ssh,444903.0108453742
13,683,33,video,503585.4014337759
8,408,33,web,298594.6980009552
13,1005,69,audio,472483.4861136512
17,442,20,audio,378594.5700318001
15,535,22,video,348703.25372674444
9,276,81,web,279514.6795373661
9,238,83,web,183822.2014408126
11,293,81,video,335748.87906841864
10,1309,73,ftp,494171.8912428381
11,1341,29,ftp,657771.4829683731
14,1287,81,web,435706.39944458235
8,1284,82,ftp,693357.2607602231
13,1042,80,ftp,632909.6305302702
10,624,87,ftp,574504.7947350813
17,1165,37,web,382320.17276637314
14,1014,11,ftp,630219.3018579816
17,309,52,audio,428092.8172181663
9,840,17,web,359707.9149965947
9,961,22,video,487717.45043461444
11,1398,94,ftp,690079.8838197468
8,1053,44,ssh,496366.5609717318
10,1402,32,web,484459.6186350754
16,1374,55,video,506995.8544798966
14,1433,24,audio,497712.2437539592
14,932,11,video,373347.1598831409
11,239,70,ftp,402617.1811342458
9,891,85,ssh,547802.2545946781
11,645,73,ftp,545769.6688110231
13,1116,61,video,521245.6847767736
10,156,45,web,212220.04970310058
8,211,76,ssh,275906.76910678955
15,104,78,ssh,366171.88597145426
12,1305,76,video,524932.4196782395
12,1136,56,ftp,582247.015474273
11,1462,92,video,623378.9313906877
13,1382,11,ssh,553874.6336747345
10,189,53,video,284065.9574936295
16,715,73,ssh,405146.5377145242
12,990,90,ftp,588293.8409811915
10,797,87,web,298508.122614319
8,1373,37,web,437060.1464344822
17,1378,63,video,544544.5976628768
13,997,83,ssh,561127.1122774609
9,1070,76,web,389765.71196288284
10,1231,45,ssh,652302.088652116
8,767,72,ftp,554260.8990226596
16,693,34,video,343618.1063718848
15,688,95,ssh,446855.5577948646
9,584,57,video,393060.40044961666
15,1081,48,ssh,518707.6025803675
16,1071,56,ssh,423781.5784882074
8,1381,30,ftp,698677.3156916872
12,738,39,video,463111.2008452704
15,1096,40,audio,490248.8436745886
9,381,35,ssh,358333.84772645426
11,1085,31,ssh,558883.8385504965
14,1211,30,web,391981.9837889559
10,1327,10,video,530642.8650108846
12,115,46,audio,209970.83870817613
15,1274,86,ftp,748614.4225278007
17,1035,94,audio,410488.16729590774
10,353,55,ftp,509714.19147554156
11,1311,18,audio,478145.7914008665
16,428,26,audio,304126.65023290046
14,643,56,video,434950.1460847869
8,882,94,web,400067.40035890904
11,1096,68,audio,526537.3368347199
11,1453,63,ssh,642757.1511566766
16,944,95,ssh,521765.1957368861
13,1292,21,ssh,586681.5061882894
16,465,73,web,400339.66183311865
13,1301,15,audio,550083.9042756312
13,754,62,ftp,592238.1739062179
12,1485,25,ftp,709284.3510061193
12,859,99,video,516272.5045303271
9,738,14,web,357537.7417254935
15,1163,82,audio,475768.56071390474
15,1023,55,ssh,489345.6967112497
8,515,23,web,257950.17503685306
15,1478,53,web,456220.92066111544
12,354,72,audio,264048.96223114076
9,1266,61,video,492686.0711706034
9,809,35,video,548565.6962266843
13,676,62,video,438006.23170379223
16,999,38,ssh,566895.3918180494
8,110,28,ssh,264881.8596497873
13,125,56,audio,175812.35206036852
16,1056,17,video,458747.3678440597
15,520,32,audio,416909.7792604374
13,1344,44,video,572513.7733038261
10,595,62,web,329929.7545722196
15,1360,67,ftp,717428.3019601031
16,336,14,ftp,424632.5310100861
8,1108,25,video,543498.2791986684
16,318,26,audio,274959.62003889086
13,560,41,ssh,517811.6179631277
13,762,61,video,470015.10780676705
11,734,29,video,326847.7422876839
8,1267,75,ssh,543499.5256699732
17,1089,93,video,460053.0733563948
15,288,91,web,336264.10663971043
